DATE,MPRIME
1949-01-01,2.00
1949-02-01,2.00
1949-03-01,2.00
1949-04-01,2.00
1949-05-01,2.00
1949-06-01,2.00
1949-07-01,2.00
1949-08-01,2.00
1949-09-01,2.00
1949-10-01,2.00
1949-11-01,2.00
1949-12-01,2.00
1950-01-01,2.00
1950-02-01,2.00
1950-03-01,2.00
1950-04-01,2.00
1950-05-01,2.00
1950-06-01,2.00
1950-07-01,2.00
1950-08-01,2.00
1950-09-01,2.08
1950-10-01,2.25
1950-11-01,2.25
1950-12-01,2.25
1951-01-01,2.44
1951-02-01,2.50
1951-03-01,2.50
1951-04-01,2.50
1951-05-01,2.50
1951-06-01,2.50
1951-07-01,2.50
1951-08-01,2.50
1951-09-01,2.50
1951-10-01,2.62
1951-11-01,2.75
1951-12-01,2.85
1952-01-01,3.00
1952-02-01,3.00
1952-03-01,3.00
1952-04-01,3.00
1952-05-01,3.00
1952-06-01,3.00
1952-07-01,3.00
1952-08-01,3.00
1952-09-01,3.00
1952-10-01,3.00
1952-11-01,3.00
1952-12-01,3.00
1953-01-01,3.00
1953-02-01,3.00
1953-03-01,3.00
1953-04-01,3.03
1953-05-01,3.25
1953-06-01,3.25
1953-07-01,3.25
1953-08-01,3.25
1953-09-01,3.25
1953-10-01,3.25
1953-11-01,3.25
1953-12-01,3.25
1954-01-01,3.25
1954-02-01,3.25
1954-03-01,3.13
1954-04-01,3.00
1954-05-01,3.00
1954-06-01,3.00
1954-07-01,3.00
1954-08-01,3.00
1954-09-01,3.00
1954-10-01,3.00
1954-11-01,3.00
1954-12-01,3.00
1955-01-01,3.00
1955-02-01,3.00
1955-03-01,3.00
1955-04-01,3.00
1955-05-01,3.00
1955-06-01,3.00
1955-07-01,3.00
1955-08-01,3.23
1955-09-01,3.25
1955-10-01,3.40
1955-11-01,3.50
1955-12-01,3.50
1956-01-01,3.50
1956-02-01,3.50
1956-03-01,3.50
1956-04-01,3.65
1956-05-01,3.75
1956-06-01,3.75
1956-07-01,3.75
1956-08-01,3.84
1956-09-01,4.00
1956-10-01,4.00
1956-11-01,4.00
1956-12-01,4.00
1957-01-01,4.00
1957-02-01,4.00
1957-03-01,4.00
1957-04-01,4.00
1957-05-01,4.00
1957-06-01,4.00
1957-07-01,4.00
1957-08-01,4.42
1957-09-01,4.50
1957-10-01,4.50
1957-11-01,4.50
1957-12-01,4.50
1958-01-01,4.34
1958-02-01,4.00
1958-03-01,4.00
1958-04-01,3.83
1958-05-01,3.50
1958-06-01,3.50
1958-07-01,3.50
1958-08-01,3.50
1958-09-01,3.83
1958-10-01,4.00
1958-11-01,4.00
1958-12-01,4.00
1959-01-01,4.00
1959-02-01,4.00
1959-03-01,4.00
1959-04-01,4.00
1959-05-01,4.23
1959-06-01,4.50
1959-07-01,4.50
1959-08-01,4.50
1959-09-01,5.00
1959-10-01,5.00
1959-11-01,5.00
1959-12-01,5.00
1960-01-01,5.00
1960-02-01,5.00
1960-03-01,5.00
1960-04-01,5.00
1960-05-01,5.00
1960-06-01,5.00
1960-07-01,5.00
1960-08-01,4.85
1960-09-01,4.50
1960-10-01,4.50
1960-11-01,4.50
1960-12-01,4.50
1961-01-01,4.50
1961-02-01,4.50
1961-03-01,4.50
1961-04-01,4.50
1961-05-01,4.50
1961-06-01,4.50
1961-07-01,4.50
1961-08-01,4.50
1961-09-01,4.50
1961-10-01,4.50
1961-11-01,4.50
1961-12-01,4.50
1962-01-01,4.50
1962-02-01,4.50
1962-03-01,4.50
1962-04-01,4.50
1962-05-01,4.50
1962-06-01,4.50
1962-07-01,4.50
1962-08-01,4.50
1962-09-01,4.50
1962-10-01,4.50
1962-11-01,4.50
1962-12-01,4.50
1963-01-01,4.50
1963-02-01,4.50
1963-03-01,4.50
1963-04-01,4.50
1963-05-01,4.50
1963-06-01,4.50
1963-07-01,4.50
1963-08-01,4.50
1963-09-01,4.50
1963-10-01,4.50
1963-11-01,4.50
1963-12-01,4.50
1964-01-01,4.50
1964-02-01,4.50
1964-03-01,4.50
1964-04-01,4.50
1964-05-01,4.50
1964-06-01,4.50
1964-07-01,4.50
1964-08-01,4.50
1964-09-01,4.50
1964-10-01,4.50
1964-11-01,4.50
1964-12-01,4.50
1965-01-01,4.50
1965-02-01,4.50
1965-03-01,4.50
1965-04-01,4.50
1965-05-01,4.50
1965-06-01,4.50
1965-07-01,4.50
1965-08-01,4.50
1965-09-01,4.50
1965-10-01,4.50
1965-11-01,4.50
1965-12-01,4.92
1966-01-01,5.00
1966-02-01,5.00
1966-03-01,5.35
1966-04-01,5.50
1966-05-01,5.50
1966-06-01,5.52
1966-07-01,5.75
1966-08-01,5.88
1966-09-01,6.00
1966-10-01,6.00
1966-11-01,6.00
1966-12-01,6.00
1967-01-01,5.96
1967-02-01,5.75
1967-03-01,5.71
1967-04-01,5.50
1967-05-01,5.50
1967-06-01,5.50
1967-07-01,5.50
1967-08-01,5.50
1967-09-01,5.50
1967-10-01,5.50
1967-11-01,5.68
1967-12-01,6.00
1968-01-01,6.00
1968-02-01,6.00
1968-03-01,6.00
1968-04-01,6.20
1968-05-01,6.50
1968-06-01,6.50
1968-07-01,6.50
1968-08-01,6.50
1968-09-01,6.45
1968-10-01,6.25
1968-11-01,6.25
1968-12-01,6.60
1969-01-01,6.95
1969-02-01,7.00
1969-03-01,7.24
1969-04-01,7.50
1969-05-01,7.50
1969-06-01,8.23
1969-07-01,8.50
1969-08-01,8.50
1969-09-01,8.50
1969-10-01,8.50
1969-11-01,8.50
1969-12-01,8.50
1970-01-01,8.50
1970-02-01,8.50
1970-03-01,8.39
1970-04-01,8.00
1970-05-01,8.00
1970-06-01,8.00
1970-07-01,8.00
1970-08-01,8.00
1970-09-01,7.83
1970-10-01,7.50
1970-11-01,7.28
1970-12-01,6.92
1971-01-01,6.29
1971-02-01,5.88
1971-03-01,5.44
1971-04-01,5.28
1971-05-01,5.46
1971-06-01,5.50
1971-07-01,5.91
1971-08-01,6.00
1971-09-01,6.00
1971-10-01,5.90
1971-11-01,5.53
1971-12-01,5.49
1972-01-01,5.18
1972-02-01,4.75
1972-03-01,4.75
1972-04-01,4.97
1972-05-01,5.00
1972-06-01,5.04
1972-07-01,5.25
1972-08-01,5.27
1972-09-01,5.50
1972-10-01,5.73
1972-11-01,5.75
1972-12-01,5.79
