Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2008,01,01,,,
IDCJAC0010,070351,2008,01,02,,,
IDCJAC0010,070351,2008,01,03,,,
IDCJAC0010,070351,2008,01,04,,,
IDCJAC0010,070351,2008,01,05,,,
IDCJAC0010,070351,2008,01,06,,,
IDCJAC0010,070351,2008,01,07,,,
IDCJAC0010,070351,2008,01,08,,,
IDCJAC0010,070351,2008,01,09,,,
IDCJAC0010,070351,2008,01,10,,,
IDCJAC0010,070351,2008,01,11,,,
IDCJAC0010,070351,2008,01,12,,,
IDCJAC0010,070351,2008,01,13,,,
IDCJAC0010,070351,2008,01,14,,,
IDCJAC0010,070351,2008,01,15,,,
IDCJAC0010,070351,2008,01,16,,,
IDCJAC0010,070351,2008,01,17,,,
IDCJAC0010,070351,2008,01,18,,,
IDCJAC0010,070351,2008,01,19,,,
IDCJAC0010,070351,2008,01,20,,,
IDCJAC0010,070351,2008,01,21,,,
IDCJAC0010,070351,2008,01,22,,,
IDCJAC0010,070351,2008,01,23,,,
IDCJAC0010,070351,2008,01,24,,,
IDCJAC0010,070351,2008,01,25,,,
IDCJAC0010,070351,2008,01,26,,,
IDCJAC0010,070351,2008,01,27,,,
IDCJAC0010,070351,2008,01,28,,,
IDCJAC0010,070351,2008,01,29,,,
IDCJAC0010,070351,2008,01,30,,,
IDCJAC0010,070351,2008,01,31,,,
IDCJAC0010,070351,2008,02,01,,,
IDCJAC0010,070351,2008,02,02,,,
IDCJAC0010,070351,2008,02,03,,,
IDCJAC0010,070351,2008,02,04,,,
IDCJAC0010,070351,2008,02,05,,,
IDCJAC0010,070351,2008,02,06,,,
IDCJAC0010,070351,2008,02,07,,,
IDCJAC0010,070351,2008,02,08,,,
IDCJAC0010,070351,2008,02,09,,,
IDCJAC0010,070351,2008,02,10,,,
IDCJAC0010,070351,2008,02,11,,,
IDCJAC0010,070351,2008,02,12,,,
IDCJAC0010,070351,2008,02,13,,,
IDCJAC0010,070351,2008,02,14,,,
IDCJAC0010,070351,2008,02,15,,,
IDCJAC0010,070351,2008,02,16,,,
IDCJAC0010,070351,2008,02,17,,,
IDCJAC0010,070351,2008,02,18,,,
IDCJAC0010,070351,2008,02,19,,,
IDCJAC0010,070351,2008,02,20,,,
IDCJAC0010,070351,2008,02,21,,,
IDCJAC0010,070351,2008,02,22,,,
IDCJAC0010,070351,2008,02,23,,,
IDCJAC0010,070351,2008,02,24,,,
IDCJAC0010,070351,2008,02,25,,,
IDCJAC0010,070351,2008,02,26,,,
IDCJAC0010,070351,2008,02,27,,,
IDCJAC0010,070351,2008,02,28,,,
IDCJAC0010,070351,2008,02,29,,,
IDCJAC0010,070351,2008,03,01,,,
IDCJAC0010,070351,2008,03,02,,,
IDCJAC0010,070351,2008,03,03,,,
IDCJAC0010,070351,2008,03,04,,,
IDCJAC0010,070351,2008,03,05,,,
IDCJAC0010,070351,2008,03,06,,,
IDCJAC0010,070351,2008,03,07,,,
IDCJAC0010,070351,2008,03,08,,,
IDCJAC0010,070351,2008,03,09,,,
IDCJAC0010,070351,2008,03,10,,,
IDCJAC0010,070351,2008,03,11,,,
IDCJAC0010,070351,2008,03,12,,,
IDCJAC0010,070351,2008,03,13,,,
IDCJAC0010,070351,2008,03,14,,,
IDCJAC0010,070351,2008,03,15,,,
IDCJAC0010,070351,2008,03,16,,,
IDCJAC0010,070351,2008,03,17,,,
IDCJAC0010,070351,2008,03,18,,,
IDCJAC0010,070351,2008,03,19,,,
IDCJAC0010,070351,2008,03,20,,,
IDCJAC0010,070351,2008,03,21,,,
IDCJAC0010,070351,2008,03,22,,,
IDCJAC0010,070351,2008,03,23,,,
IDCJAC0010,070351,2008,03,24,,,
IDCJAC0010,070351,2008,03,25,,,
IDCJAC0010,070351,2008,03,26,,,
IDCJAC0010,070351,2008,03,27,,,
IDCJAC0010,070351,2008,03,28,,,
IDCJAC0010,070351,2008,03,29,,,
IDCJAC0010,070351,2008,03,30,,,
IDCJAC0010,070351,2008,03,31,,,
IDCJAC0010,070351,2008,04,01,,,
IDCJAC0010,070351,2008,04,02,,,
IDCJAC0010,070351,2008,04,03,,,
IDCJAC0010,070351,2008,04,04,,,
IDCJAC0010,070351,2008,04,05,,,
IDCJAC0010,070351,2008,04,06,,,
IDCJAC0010,070351,2008,04,07,,,
IDCJAC0010,070351,2008,04,08,,,
IDCJAC0010,070351,2008,04,09,,,
IDCJAC0010,070351,2008,04,10,,,
IDCJAC0010,070351,2008,04,11,,,
IDCJAC0010,070351,2008,04,12,,,
IDCJAC0010,070351,2008,04,13,,,
IDCJAC0010,070351,2008,04,14,,,
IDCJAC0010,070351,2008,04,15,,,
IDCJAC0010,070351,2008,04,16,,,
IDCJAC0010,070351,2008,04,17,,,
IDCJAC0010,070351,2008,04,18,,,
IDCJAC0010,070351,2008,04,19,,,
IDCJAC0010,070351,2008,04,20,,,
IDCJAC0010,070351,2008,04,21,,,
IDCJAC0010,070351,2008,04,22,,,
IDCJAC0010,070351,2008,04,23,,,
IDCJAC0010,070351,2008,04,24,,,
IDCJAC0010,070351,2008,04,25,,,
IDCJAC0010,070351,2008,04,26,,,
IDCJAC0010,070351,2008,04,27,,,
IDCJAC0010,070351,2008,04,28,,,
IDCJAC0010,070351,2008,04,29,,,
IDCJAC0010,070351,2008,04,30,,,
IDCJAC0010,070351,2008,05,01,,,
IDCJAC0010,070351,2008,05,02,,,
IDCJAC0010,070351,2008,05,03,,,
IDCJAC0010,070351,2008,05,04,,,
IDCJAC0010,070351,2008,05,05,,,
IDCJAC0010,070351,2008,05,06,,,
IDCJAC0010,070351,2008,05,07,,,
IDCJAC0010,070351,2008,05,08,,,
IDCJAC0010,070351,2008,05,09,,,
IDCJAC0010,070351,2008,05,10,,,
IDCJAC0010,070351,2008,05,11,,,
IDCJAC0010,070351,2008,05,12,,,
IDCJAC0010,070351,2008,05,13,,,
IDCJAC0010,070351,2008,05,14,,,
IDCJAC0010,070351,2008,05,15,,,
IDCJAC0010,070351,2008,05,16,,,
IDCJAC0010,070351,2008,05,17,,,
IDCJAC0010,070351,2008,05,18,,,
IDCJAC0010,070351,2008,05,19,,,
IDCJAC0010,070351,2008,05,20,,,
IDCJAC0010,070351,2008,05,21,,,
IDCJAC0010,070351,2008,05,22,,,
IDCJAC0010,070351,2008,05,23,,,
IDCJAC0010,070351,2008,05,24,,,
IDCJAC0010,070351,2008,05,25,,,
IDCJAC0010,070351,2008,05,26,,,
IDCJAC0010,070351,2008,05,27,,,
IDCJAC0010,070351,2008,05,28,,,
IDCJAC0010,070351,2008,05,29,,,
IDCJAC0010,070351,2008,05,30,,,
IDCJAC0010,070351,2008,05,31,,,
IDCJAC0010,070351,2008,06,01,,,
IDCJAC0010,070351,2008,06,02,,,
IDCJAC0010,070351,2008,06,03,,,
IDCJAC0010,070351,2008,06,04,,,
IDCJAC0010,070351,2008,06,05,,,
IDCJAC0010,070351,2008,06,06,,,
IDCJAC0010,070351,2008,06,07,,,
IDCJAC0010,070351,2008,06,08,,,
IDCJAC0010,070351,2008,06,09,,,
IDCJAC0010,070351,2008,06,10,,,
IDCJAC0010,070351,2008,06,11,,,
IDCJAC0010,070351,2008,06,12,,,
IDCJAC0010,070351,2008,06,13,,,
IDCJAC0010,070351,2008,06,14,,,
IDCJAC0010,070351,2008,06,15,,,
IDCJAC0010,070351,2008,06,16,,,
IDCJAC0010,070351,2008,06,17,,,
IDCJAC0010,070351,2008,06,18,,,
IDCJAC0010,070351,2008,06,19,,,
IDCJAC0010,070351,2008,06,20,,,
IDCJAC0010,070351,2008,06,21,,,
IDCJAC0010,070351,2008,06,22,,,
IDCJAC0010,070351,2008,06,23,,,
IDCJAC0010,070351,2008,06,24,,,
IDCJAC0010,070351,2008,06,25,,,
IDCJAC0010,070351,2008,06,26,,,
IDCJAC0010,070351,2008,06,27,,,
IDCJAC0010,070351,2008,06,28,,,
IDCJAC0010,070351,2008,06,29,,,
IDCJAC0010,070351,2008,06,30,,,
IDCJAC0010,070351,2008,07,01,,,
IDCJAC0010,070351,2008,07,02,,,
IDCJAC0010,070351,2008,07,03,,,
IDCJAC0010,070351,2008,07,04,,,
IDCJAC0010,070351,2008,07,05,,,
IDCJAC0010,070351,2008,07,06,,,
IDCJAC0010,070351,2008,07,07,,,
IDCJAC0010,070351,2008,07,08,,,
IDCJAC0010,070351,2008,07,09,,,
IDCJAC0010,070351,2008,07,10,,,
IDCJAC0010,070351,2008,07,11,,,
IDCJAC0010,070351,2008,07,12,,,
IDCJAC0010,070351,2008,07,13,,,
IDCJAC0010,070351,2008,07,14,,,
IDCJAC0010,070351,2008,07,15,,,
IDCJAC0010,070351,2008,07,16,,,
IDCJAC0010,070351,2008,07,17,,,
IDCJAC0010,070351,2008,07,18,,,
IDCJAC0010,070351,2008,07,19,,,
IDCJAC0010,070351,2008,07,20,,,
IDCJAC0010,070351,2008,07,21,,,
IDCJAC0010,070351,2008,07,22,,,
IDCJAC0010,070351,2008,07,23,,,
IDCJAC0010,070351,2008,07,24,,,
IDCJAC0010,070351,2008,07,25,,,
IDCJAC0010,070351,2008,07,26,,,
IDCJAC0010,070351,2008,07,27,,,
IDCJAC0010,070351,2008,07,28,,,
IDCJAC0010,070351,2008,07,29,,,
IDCJAC0010,070351,2008,07,30,,,
IDCJAC0010,070351,2008,07,31,,,
IDCJAC0010,070351,2008,08,01,,,
IDCJAC0010,070351,2008,08,02,,,
IDCJAC0010,070351,2008,08,03,,,
IDCJAC0010,070351,2008,08,04,,,
IDCJAC0010,070351,2008,08,05,,,
IDCJAC0010,070351,2008,08,06,,,
IDCJAC0010,070351,2008,08,07,,,
IDCJAC0010,070351,2008,08,08,,,
IDCJAC0010,070351,2008,08,09,,,
IDCJAC0010,070351,2008,08,10,,,
IDCJAC0010,070351,2008,08,11,,,
IDCJAC0010,070351,2008,08,12,,,
IDCJAC0010,070351,2008,08,13,,,
IDCJAC0010,070351,2008,08,14,,,
IDCJAC0010,070351,2008,08,15,,,
IDCJAC0010,070351,2008,08,16,,,
IDCJAC0010,070351,2008,08,17,,,
IDCJAC0010,070351,2008,08,18,,,
IDCJAC0010,070351,2008,08,19,,,
IDCJAC0010,070351,2008,08,20,,,
IDCJAC0010,070351,2008,08,21,,,
IDCJAC0010,070351,2008,08,22,,,
IDCJAC0010,070351,2008,08,23,,,
IDCJAC0010,070351,2008,08,24,,,
IDCJAC0010,070351,2008,08,25,,,
IDCJAC0010,070351,2008,08,26,,,
IDCJAC0010,070351,2008,08,27,,,
IDCJAC0010,070351,2008,08,28,,,
IDCJAC0010,070351,2008,08,29,,,
IDCJAC0010,070351,2008,08,30,,,
IDCJAC0010,070351,2008,08,31,,,
IDCJAC0010,070351,2008,09,01,,,
IDCJAC0010,070351,2008,09,02,,,
IDCJAC0010,070351,2008,09,03,,,
IDCJAC0010,070351,2008,09,04,,,
IDCJAC0010,070351,2008,09,05,,,
IDCJAC0010,070351,2008,09,06,,,
IDCJAC0010,070351,2008,09,07,,,
IDCJAC0010,070351,2008,09,08,,,
IDCJAC0010,070351,2008,09,09,,,
IDCJAC0010,070351,2008,09,10,,,
IDCJAC0010,070351,2008,09,11,,,
IDCJAC0010,070351,2008,09,12,,,
IDCJAC0010,070351,2008,09,13,,,
IDCJAC0010,070351,2008,09,14,,,
IDCJAC0010,070351,2008,09,15,,,
IDCJAC0010,070351,2008,09,16,,,
IDCJAC0010,070351,2008,09,17,,,
IDCJAC0010,070351,2008,09,18,,,
IDCJAC0010,070351,2008,09,19,23.6,1,N
IDCJAC0010,070351,2008,09,20,23.8,1,Y
IDCJAC0010,070351,2008,09,21,19.8,1,Y
IDCJAC0010,070351,2008,09,22,22.5,1,Y
IDCJAC0010,070351,2008,09,23,16.6,1,Y
IDCJAC0010,070351,2008,09,24,17.3,1,Y
IDCJAC0010,070351,2008,09,25,19.0,1,Y
IDCJAC0010,070351,2008,09,26,21.4,1,Y
IDCJAC0010,070351,2008,09,27,25.9,1,Y
IDCJAC0010,070351,2008,09,28,24.5,1,Y
IDCJAC0010,070351,2008,09,29,19.2,1,Y
IDCJAC0010,070351,2008,09,30,17.8,1,Y
IDCJAC0010,070351,2008,10,01,22.0,1,Y
IDCJAC0010,070351,2008,10,02,27.9,1,Y
IDCJAC0010,070351,2008,10,03,29.4,1,Y
IDCJAC0010,070351,2008,10,04,20.6,1,Y
IDCJAC0010,070351,2008,10,05,21.7,1,Y
