Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,018192,1992,01,01,,,
IDCJAC0010,018192,1992,01,02,,,
IDCJAC0010,018192,1992,01,03,,,
IDCJAC0010,018192,1992,01,04,,,
IDCJAC0010,018192,1992,01,05,,,
IDCJAC0010,018192,1992,01,06,,,
IDCJAC0010,018192,1992,01,07,,,
IDCJAC0010,018192,1992,01,08,,,
IDCJAC0010,018192,1992,01,09,,,
IDCJAC0010,018192,1992,01,10,,,
IDCJAC0010,018192,1992,01,11,,,
IDCJAC0010,018192,1992,01,12,,,
IDCJAC0010,018192,1992,01,13,,,
IDCJAC0010,018192,1992,01,14,,,
IDCJAC0010,018192,1992,01,15,,,
IDCJAC0010,018192,1992,01,16,,,
IDCJAC0010,018192,1992,01,17,,,
IDCJAC0010,018192,1992,01,18,,,
IDCJAC0010,018192,1992,01,19,,,
IDCJAC0010,018192,1992,01,20,,,
IDCJAC0010,018192,1992,01,21,,,
IDCJAC0010,018192,1992,01,22,,,
IDCJAC0010,018192,1992,01,23,,,
IDCJAC0010,018192,1992,01,24,,,
IDCJAC0010,018192,1992,01,25,,,
IDCJAC0010,018192,1992,01,26,,,
IDCJAC0010,018192,1992,01,27,,,
IDCJAC0010,018192,1992,01,28,,,
IDCJAC0010,018192,1992,01,29,,,
IDCJAC0010,018192,1992,01,30,,,
IDCJAC0010,018192,1992,01,31,,,
IDCJAC0010,018192,1992,02,01,,,
IDCJAC0010,018192,1992,02,02,,,
IDCJAC0010,018192,1992,02,03,,,
IDCJAC0010,018192,1992,02,04,,,
IDCJAC0010,018192,1992,02,05,,,
IDCJAC0010,018192,1992,02,06,,,
IDCJAC0010,018192,1992,02,07,,,
IDCJAC0010,018192,1992,02,08,,,
IDCJAC0010,018192,1992,02,09,,,
IDCJAC0010,018192,1992,02,10,,,
IDCJAC0010,018192,1992,02,11,,,
IDCJAC0010,018192,1992,02,12,,,
IDCJAC0010,018192,1992,02,13,,,
IDCJAC0010,018192,1992,02,14,,,
IDCJAC0010,018192,1992,02,15,,,
IDCJAC0010,018192,1992,02,16,,,
IDCJAC0010,018192,1992,02,17,,,
IDCJAC0010,018192,1992,02,18,,,
IDCJAC0010,018192,1992,02,19,,,
IDCJAC0010,018192,1992,02,20,,,
IDCJAC0010,018192,1992,02,21,,,
IDCJAC0010,018192,1992,02,22,,,
IDCJAC0010,018192,1992,02,23,,,
IDCJAC0010,018192,1992,02,24,,,
IDCJAC0010,018192,1992,02,25,,,
IDCJAC0010,018192,1992,02,26,,,
IDCJAC0010,018192,1992,02,27,,,
IDCJAC0010,018192,1992,02,28,,,
IDCJAC0010,018192,1992,02,29,,,
IDCJAC0010,018192,1992,03,01,,,
IDCJAC0010,018192,1992,03,02,,,
IDCJAC0010,018192,1992,03,03,,,
IDCJAC0010,018192,1992,03,04,,,
IDCJAC0010,018192,1992,03,05,,,
IDCJAC0010,018192,1992,03,06,,,
IDCJAC0010,018192,1992,03,07,,,
IDCJAC0010,018192,1992,03,08,,,
IDCJAC0010,018192,1992,03,09,,,
IDCJAC0010,018192,1992,03,10,,,
IDCJAC0010,018192,1992,03,11,,,
IDCJAC0010,018192,1992,03,12,,,
IDCJAC0010,018192,1992,03,13,,,
IDCJAC0010,018192,1992,03,14,,,
IDCJAC0010,018192,1992,03,15,,,
IDCJAC0010,018192,1992,03,16,,,
IDCJAC0010,018192,1992,03,17,,,
IDCJAC0010,018192,1992,03,18,,,
IDCJAC0010,018192,1992,03,19,,,
IDCJAC0010,018192,1992,03,20,,,
IDCJAC0010,018192,1992,03,21,,,
IDCJAC0010,018192,1992,03,22,,,
IDCJAC0010,018192,1992,03,23,,,
IDCJAC0010,018192,1992,03,24,,,
IDCJAC0010,018192,1992,03,25,,,
IDCJAC0010,018192,1992,03,26,,,
IDCJAC0010,018192,1992,03,27,,,
IDCJAC0010,018192,1992,03,28,,,
IDCJAC0010,018192,1992,03,29,,,
IDCJAC0010,018192,1992,03,30,,,
IDCJAC0010,018192,1992,03,31,,,
IDCJAC0010,018192,1992,04,01,,,
IDCJAC0010,018192,1992,04,02,25.2,1,N
IDCJAC0010,018192,1992,04,03,37.2,1,Y
IDCJAC0010,018192,1992,04,04,28.7,1,Y
IDCJAC0010,018192,1992,04,05,19.6,1,Y
IDCJAC0010,018192,1992,04,06,21.2,1,Y
IDCJAC0010,018192,1992,04,07,18.6,1,Y
IDCJAC0010,018192,1992,04,08,18.7,1,Y
IDCJAC0010,018192,1992,04,09,18.7,1,Y
IDCJAC0010,018192,1992,04,10,22.4,1,Y
IDCJAC0010,018192,1992,04,11,23.8,1,Y
IDCJAC0010,018192,1992,04,12,22.3,1,Y
IDCJAC0010,018192,1992,04,13,23.7,1,Y
IDCJAC0010,018192,1992,04,14,21.5,1,Y
IDCJAC0010,018192,1992,04,15,22.2,1,Y
IDCJAC0010,018192,1992,04,16,19.5,1,Y
IDCJAC0010,018192,1992,04,17,20.9,1,Y
IDCJAC0010,018192,1992,04,18,26.1,1,Y
IDCJAC0010,018192,1992,04,19,28.6,1,Y
IDCJAC0010,018192,1992,04,20,19.1,1,Y
IDCJAC0010,018192,1992,04,21,17.6,1,Y
IDCJAC0010,018192,1992,04,22,17.4,1,Y
IDCJAC0010,018192,1992,04,23,18.7,1,Y
IDCJAC0010,018192,1992,04,24,19.8,1,Y
IDCJAC0010,018192,1992,04,25,20.4,1,Y
IDCJAC0010,018192,1992,04,26,17.9,1,Y
IDCJAC0010,018192,1992,04,27,17.6,1,Y
IDCJAC0010,018192,1992,04,28,19.8,1,Y
IDCJAC0010,018192,1992,04,29,20.5,1,Y
IDCJAC0010,018192,1992,04,30,20.5,1,Y
IDCJAC0010,018192,1992,05,01,19.6,1,Y
IDCJAC0010,018192,1992,05,02,21.8,1,Y
IDCJAC0010,018192,1992,05,03,22.4,1,Y
IDCJAC0010,018192,1992,05,04,27.7,1,Y
IDCJAC0010,018192,1992,05,05,27.8,1,Y
IDCJAC0010,018192,1992,05,06,24.7,1,Y
IDCJAC0010,018192,1992,05,07,22.9,1,Y
IDCJAC0010,018192,1992,05,08,19.9,1,Y
IDCJAC0010,018192,1992,05,09,18.3,1,Y
IDCJAC0010,018192,1992,05,10,19.3,1,Y
IDCJAC0010,018192,1992,05,11,18.7,1,Y
IDCJAC0010,018192,1992,05,12,18.1,1,Y
IDCJAC0010,018192,1992,05,13,18.6,1,Y
IDCJAC0010,018192,1992,05,14,17.2,1,Y
IDCJAC0010,018192,1992,05,15,16.5,1,Y
IDCJAC0010,018192,1992,05,16,14.8,1,Y
IDCJAC0010,018192,1992,05,17,16.8,1,Y
IDCJAC0010,018192,1992,05,18,16.2,1,Y
IDCJAC0010,018192,1992,05,19,16.0,1,Y
IDCJAC0010,018192,1992,05,20,16.5,1,Y
IDCJAC0010,018192,1992,05,21,17.6,1,Y
IDCJAC0010,018192,1992,05,22,16.5,1,Y
IDCJAC0010,018192,1992,05,23,17.0,1,Y
IDCJAC0010,018192,1992,05,24,18.8,1,Y
IDCJAC0010,018192,1992,05,25,18.7,1,Y
IDCJAC0010,018192,1992,05,26,16.7,1,Y
IDCJAC0010,018192,1992,05,27,17.0,1,Y
IDCJAC0010,018192,1992,05,28,16.7,1,Y
IDCJAC0010,018192,1992,05,29,18.6,1,Y
IDCJAC0010,018192,1992,05,30,18.8,1,Y
IDCJAC0010,018192,1992,05,31,21.6,1,Y
IDCJAC0010,018192,1992,06,01,18.6,1,Y
IDCJAC0010,018192,1992,06,02,16.7,1,Y
IDCJAC0010,018192,1992,06,03,17.0,1,Y
IDCJAC0010,018192,1992,06,04,17.4,1,Y
IDCJAC0010,018192,1992,06,05,16.6,1,Y
IDCJAC0010,018192,1992,06,06,17.6,1,Y
IDCJAC0010,018192,1992,06,07,17.2,1,Y
IDCJAC0010,018192,1992,06,08,17.2,1,Y
IDCJAC0010,018192,1992,06,09,16.0,1,Y
IDCJAC0010,018192,1992,06,10,15.3,1,Y
IDCJAC0010,018192,1992,06,11,17.5,1,Y
IDCJAC0010,018192,1992,06,12,14.5,1,Y
IDCJAC0010,018192,1992,06,13,15.0,1,Y
IDCJAC0010,018192,1992,06,14,16.5,1,Y
IDCJAC0010,018192,1992,06,15,16.1,1,Y
IDCJAC0010,018192,1992,06,16,18.8,1,Y
IDCJAC0010,018192,1992,06,17,17.5,1,Y
IDCJAC0010,018192,1992,06,18,17.4,1,Y
IDCJAC0010,018192,1992,06,19,16.8,1,Y
IDCJAC0010,018192,1992,06,20,16.3,1,Y
IDCJAC0010,018192,1992,06,21,16.4,1,Y
IDCJAC0010,018192,1992,06,22,17.2,1,Y
IDCJAC0010,018192,1992,06,23,16.0,1,Y
IDCJAC0010,018192,1992,06,24,14.8,1,Y
IDCJAC0010,018192,1992,06,25,14.1,1,Y
IDCJAC0010,018192,1992,06,26,13.8,1,Y
IDCJAC0010,018192,1992,06,27,15.0,1,Y
IDCJAC0010,018192,1992,06,28,18.8,1,Y
IDCJAC0010,018192,1992,06,29,18.3,1,Y
IDCJAC0010,018192,1992,06,30,17.1,1,Y
IDCJAC0010,018192,1992,07,01,17.5,1,Y
IDCJAC0010,018192,1992,07,02,18.4,1,Y
IDCJAC0010,018192,1992,07,03,17.6,1,Y
IDCJAC0010,018192,1992,07,04,17.0,1,Y
IDCJAC0010,018192,1992,07,05,17.5,1,Y
IDCJAC0010,018192,1992,07,06,15.9,1,Y
IDCJAC0010,018192,1992,07,07,16.4,1,Y
IDCJAC0010,018192,1992,07,08,16.2,1,Y
IDCJAC0010,018192,1992,07,09,16.0,1,Y
IDCJAC0010,018192,1992,07,10,16.2,1,Y
IDCJAC0010,018192,1992,07,11,17.9,1,Y
IDCJAC0010,018192,1992,07,12,17.8,1,Y
IDCJAC0010,018192,1992,07,13,17.0,1,Y
IDCJAC0010,018192,1992,07,14,19.2,1,Y
IDCJAC0010,018192,1992,07,15,16.8,1,Y
IDCJAC0010,018192,1992,07,16,15.8,1,Y
IDCJAC0010,018192,1992,07,17,16.0,1,Y
IDCJAC0010,018192,1992,07,18,15.6,1,Y
IDCJAC0010,018192,1992,07,19,13.8,1,Y
IDCJAC0010,018192,1992,07,20,13.2,1,Y
IDCJAC0010,018192,1992,07,21,14.6,1,Y
IDCJAC0010,018192,1992,07,22,16.9,1,Y
IDCJAC0010,018192,1992,07,23,16.0,1,Y
IDCJAC0010,018192,1992,07,24,16.0,1,Y
IDCJAC0010,018192,1992,07,25,16.3,1,Y
IDCJAC0010,018192,1992,07,26,18.5,1,Y
IDCJAC0010,018192,1992,07,27,18.6,1,Y
IDCJAC0010,018192,1992,07,28,16.8,1,Y
IDCJAC0010,018192,1992,07,29,20.7,1,Y
IDCJAC0010,018192,1992,07,30,15.6,1,Y
IDCJAC0010,018192,1992,07,31,14.9,1,Y
IDCJAC0010,018192,1992,08,01,14.5,1,Y
IDCJAC0010,018192,1992,08,02,15.7,1,Y
IDCJAC0010,018192,1992,08,03,13.9,1,Y
IDCJAC0010,018192,1992,08,04,20.8,1,Y
IDCJAC0010,018192,1992,08,05,16.9,1,Y
IDCJAC0010,018192,1992,08,06,16.5,1,Y
IDCJAC0010,018192,1992,08,07,15.2,1,Y
IDCJAC0010,018192,1992,08,08,13.8,1,Y
IDCJAC0010,018192,1992,08,09,13.5,1,Y
IDCJAC0010,018192,1992,08,10,14.9,1,Y
IDCJAC0010,018192,1992,08,11,16.4,1,Y
IDCJAC0010,018192,1992,08,12,14.1,1,Y
IDCJAC0010,018192,1992,08,13,17.3,1,Y
IDCJAC0010,018192,1992,08,14,17.6,1,Y
IDCJAC0010,018192,1992,08,15,18.2,1,Y
IDCJAC0010,018192,1992,08,16,20.5,1,Y
IDCJAC0010,018192,1992,08,17,12.7,1,Y
IDCJAC0010,018192,1992,08,18,15.8,1,Y
IDCJAC0010,018192,1992,08,19,14.9,1,Y
IDCJAC0010,018192,1992,08,20,13.6,1,Y
IDCJAC0010,018192,1992,08,21,16.9,1,Y
IDCJAC0010,018192,1992,08,22,17.8,1,Y
IDCJAC0010,018192,1992,08,23,13.0,1,Y
IDCJAC0010,018192,1992,08,24,12.7,1,Y
IDCJAC0010,018192,1992,08,25,11.6,1,Y
IDCJAC0010,018192,1992,08,26,16.4,1,Y
IDCJAC0010,018192,1992,08,27,16.6,1,Y
