Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Arable land (hectares),AG.LND.ARBL.HA,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,
Afghanistan,AFG,Arable land (hectares),AG.LND.ARBL.HA,,7650000,7700000,7750000,7800000,7800000,7835000,7844000,7844000,7860000,7870000,7900000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7910000,7824000,7703000,7653000,7647000,7685000,7757000,7653000,7683000,7683000,7678000,7772000,7816000,7805000,7794000,7794000,7794000,7793000,7793000,7791000,7790000,7785000,7771000,7765000,7729000,,,
Angola,AGO,Arable land (hectares),AG.LND.ARBL.HA,,2670000,2700000,2720000,2750000,2770000,2800000,2830000,2860000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2950000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3100000,3300000,3300000,3300000,3300000,3400000,3400000,4000000,4100000,4700000,4700000,4900000,4900000,4900000,4900000,,,
Albania,ALB,Arable land (hectares),AG.LND.ARBL.HA,,432000,436000,440000,443000,460000,475000,488000,500000,510000,521000,530000,540000,548000,557000,563000,575000,580000,583000,583000,585000,588000,589000,589000,589000,589000,589000,590000,590000,582000,579000,578000,578000,577000,577000,577000,577000,578000,577000,577000,578000,578000,578000,578000,578000,538000,584000,578000,610000,609000,626000,622000,619099.9756,617099.9756,615599.9756,615099.9756,620299.9878,,,
tractors_per_100_sq_km_arable,AND,Arable land (hectares),AG.LND.ARBL.HA,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,750,850.0000238,860.0000143,810.0000024,800.0000119,779.9999714,769.9999809,759.9999905,769.9999809,769.9999809,769.9999809,759.9999905,810.0000024,810.0000024,810.0000024,779.9999714,,,
Arab World,ARB,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Arable land (hectares),AG.LND.ARBL.HA,,5000,5000,5000,5000,5000,6000,6000,6000,6000,7000,7000,7000,8000,9000,11000,11000,12000,12000,12000,16000,19000,18000,23000,24000,26000,29000,29000,29000,29000,35000,35000,38000,40000,42000,43000,46000,45000,36000,43000,60000,71000,75000,64000,63000,68000,50599.99847,44599.99847,51599.99847,49900.00153,50599.99847,45099.99847,37099.99847,37500,44000,44099.99847,44500,,,
Argentina,ARG,Arable land (hectares),AG.LND.ARBL.HA,,18597000,19180000,19600000,20000000,20461000,21608000,22341000,23851000,25897000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,27000000,27000000,27000000,27000000,27000000,26800000,26367000,26470000,26575000,26680000,26785000,26890000,26998000,27105000,27212000,27320000,27425000,27532000,27640000,27746000,27862000,28683500,30775000,32897500,34854000,36433000,35261000,34292000,37981000,38781000,39754000,39699000,39200000,39200000,39200000,,,
Armenia,ARM,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423000,433000,435000,435000,450000,455000,455000,450000,450000,455000,455000,455000,455000,455000,452899.9939,452100.0061,450399.9939,449399.9939,448500,449200.0122,448399.9939,448200.0122,447500,446700.0122,446399.9939,,,
American Samoa,ASM,Arable land (hectares),AG.LND.ARBL.HA,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1200.000048,1200.000048,1200.000048,1500,2000,2000,2400.000095,2500,2500,2500,2500,3339.999914,3299.999952,3299.999952,3299.999952,3000,2960.000038,3000,3000,3000,3000,3000,3000,3000,3000,,,
Antigua and Barbuda,ATG,Arable land (hectares),AG.LND.ARBL.HA,,8000,7000,8000,7000,8000,8000,7000,7000,8000,8000,7000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,,
Australia,AUS,Arable land (hectares),AG.LND.ARBL.HA,,30185000,32103000,33034000,35380000,36966000,39614000,41278000,41390000,41500000,41614000,41110000,40616000,40216000,42121000,42226000,42076000,41087000,42518000,43932000,44031000,43014000,46374000,44817000,47080000,47150000,46813000,46941000,47000000,47700000,47900000,45700000,47200000,46300000,47300000,40097000,36284000,39871000,44055000,45530000,47304000,49807000,47799000,47040000,47743000,49402000,47715000,44140000,43979000,45616000,42568000,47678000,47113000,46219000,46957000,46126000,46048000,,,
Austria,AUT,Arable land (hectares),AG.LND.ARBL.HA,,1689000,1681000,1656000,1657000,1660000,1616000,1600000,1601000,1585000,1586000,1587000,1588000,1514000,1514000,1511000,1520000,1529000,1547000,1523000,1536000,1549000,1535000,1439000,1445000,1448000,1439000,1439000,1458000,1459000,1426000,1445000,1436000,1419000,1423000,1414000,1410000,1406000,1404000,1402000,1399000,1387000,1385000,1380030.029,1379300.049,1380699.951,1377199.951,1376000,1369000,1366599.976,1363800.049,1359599.976,1355099.976,1353900.024,1351699.951,1346099.976,1344489.99,,,
Azerbaijan,AZE,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704500,1715800.049,1723599.976,1726300.049,1784800.049,1801199.951,1809699.951,1824900.024,1825599.976,1835699.951,1837300.049,1838500,1840699.951,1843199.951,1841300.049,1854000,1860199.951,1874000,1884099.976,1885699.951,1896800.049,1925300.049,1926500,1937699.951,1999000,,,
Burundi,BDI,Arable land (hectares),AG.LND.ARBL.HA,,675000,700000,724000,744000,756000,753000,788000,800000,992000,940000,929000,896000,930000,930000,930000,935000,942000,935000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,930000,940000,940000,950000,950000,960000,960000,975000,986000,990000,985000,956000,900000,850000,900000,950000,950000,1000000,1100000,1200000,1200000,1200000,1200000,,,
Belgium,BEL,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862000,845000,832000,835000,840000,843000,842000,839000,844000,840000,834000,825000,803000,816000,817000,829500,849400.0244,,,
Benin,BEN,Arable land (hectares),AG.LND.ARBL.HA,,920000,940000,960000,980000,1000000,1030000,1070000,1100000,1180000,1200000,1250000,1280000,1300000,1330000,1370000,1400000,1430000,1450000,1470000,1500000,1530000,1550000,1560000,1570000,1580000,1590000,1600000,1610000,1620000,1615000,1620000,1630000,1650000,1700000,1790000,1950000,2100000,2250000,2300000,2380000,2450000,2550000,2650000,2750000,2700000,2500000,2500000,2600000,2450000,2540000,2580000,2700000,2700000,2700000,2700000,2700000,,,
