"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-01","2018","01","01","","-8.7","","-21.3","","-15.0","","33.0","","0.0","","0.0","","0.0","T","0.0","T","11","","28","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-02","2018","01","02","","-7.8","","-13.1","","-10.5","","28.5","","0.0","","0.0","","1.0","","1.0","","11","","24","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-03","2018","01","03","","-6.3","","-13.5","","-9.9","","27.9","","0.0","","0.0","","0.0","T","0.0","T","10","","22","","44",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-04","2018","01","04","","-8.9","","-20.5","","-14.7","","32.7","","0.0","","0.0","","0.0","T","0.0","T","9","","32","","65",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-05","2018","01","05","","-15.0","","-23.0","","-19.0","","37.0","","0.0","","0.0","","0.0","T","0.0","T","8","","31","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-06","2018","01","06","","-16.4","","-23.5","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","7","","30","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-07","2018","01","07","","-2.0","","-20.9","","-11.5","","29.5","","0.0","","0.2","","0.2","","0.4","","7","","22","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-08","2018","01","08","","2.2","","-2.6","","-0.2","","18.2","","0.0","","0.6","","4.0","","4.2","","9","","25","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-09","2018","01","09","","0.6","","-2.5","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","7","","31","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-10","2018","01","10","","6.6","","-4.9","","0.9","","17.1","","0.0","","2.6","","0.0","","2.6","","6","","","","<31",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-11","2018","01","11","","12.6","","4.5","","8.6","","9.4","","0.0","","7.0","","0.0","","7.0","","2","","21","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-12","2018","01","12","","12.2","","-12.6","","-0.2","","18.2","","0.0","","10.2","","3.4","","14.2","","3","","32","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-13","2018","01","13","","-11.6","","-16.9","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","3","","34","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-14","2018","01","14","","-6.5","","-17.3","","-11.9","","29.9","","0.0","","0.0","","0.0","","0.0","","1","","14","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-15","2018","01","15","","-6.5","","-9.0","","-7.8","","25.8","","0.0","","0.0","","4.4","","3.8","","1","","11","","56",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-16","2018","01","16","","-3.1","","-10.3","","-6.7","","24.7","","0.0","","0.0","","1.6","","1.4","","5","","","","<31",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-17","2018","01","17","","-5.5","","-14.4","","-10.0","","28.0","","0.0","","0.0","","0.4","","0.4","","5","","22","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-18","2018","01","18","","-4.1","","-9.1","","-6.6","","24.6","","0.0","","0.0","","0.0","T","0.0","T","7","","25","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-19","2018","01","19","","2.0","","-6.4","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","5","","22","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-20","2018","01","20","","6.2","","-0.3","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","3","","22","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-21","2018","01","21","","4.2","","-2.0","","1.1","","16.9","","0.0","","1.0","","0.0","","1.0","","0","T","23","","30",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-22","2018","01","22","","2.4","","0.6","","1.5","","16.5","","0.0","","14.4","","0.0","","14.4","","0","T","10","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-23","2018","01","23","","7.1","","-5.2","","1.0","","17.0","","0.0","","3.4","","0.0","T","3.4","","0","T","34","","69",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-24","2018","01","24","","-4.9","","-10.8","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","","","28","","56",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-25","2018","01","25","","-2.5","","-11.2","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-26","2018","01","26","","5.7","","-2.6","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","0","T","12","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-27","2018","01","27","","9.6","","0.3","","5.0","","13.0","","0.0","","1.6","","0.0","","1.6","","","","24","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-28","2018","01","28","","5.2","","-3.0","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","","","27","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-29","2018","01","29","","-1.9","","-6.7","","-4.3","","22.3","","0.0","","0.0","","5.2","","5.2","","0","T","0","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-30","2018","01","30","","-6.5","","-15.4","","-11.0","","29.0","","0.0","","0.0","","0.4","","0.4","","5","","35","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-01-31","2018","01","31","","2.1","","-15.1","","-6.5","","24.5","","0.0","","0.0","","0.8","","0.8","","3","","16","","43",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-02-01","2018","02","01","","4.6","","-10.4","","-2.9","","20.9","","0.0","","0.0","","0.0","T","0.0","T","3","","26","","59",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-02-02","2018","02","02","","-9.5","","-15.7","","-12.6","","30.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","31","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-02-03","2018","02","03","","-2.3","","-10.9","","-6.6","","24.6","","0.0","","0.0","","1.8","","1.8","","0","T","26","","43",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-02-04","2018","02","04","","1.5","","-9.0","","-3.8","","21.8","","0.0","","0.2","","5.2","","5.0","","3","","32","","69",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-02-05","2018","02","05","","-7.8","","-14.1","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","4","","32","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-02-06","2018","02","06","","-4.8","","-11.3","","-8.1","","26.1","","0.0","","0.0","","0.2","","0.2","","3","","25","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2018-02-07","2018","02","07","","-4.8","","-13.2","","-9.0","","27.0","","0.0","","0.0","","7.4","","6.6","","3","","35","","43",""
