Geographic code,Geographic name,Geographic type,"Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Population, 2006",2006 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, % change","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011"
1,Canada,,T,33476688,31612897,F,T,5.9,14569633,13320614,8965121.425,3.7341,,
1001101,"Division No.  1, Subd. V (N.L.)",SNO,F,62,65,F,F,-4.6,83,28,894.1406,0.0693,4540,352
1001105,Portugal Cove South (N.L.),T,F,160,222,F,F,-27.9,90,69,1.14,140.3509,4136,306
1001113,Trepassey (N.L.),T,F,570,763,F,F,-25.3,335,258,55.8094,10.2133,2833,144
1001120,St. Shott's (N.L.),T,F,81,109,F,F,-25.7,44,40,1.1359,71.3091,4454,348
1001124,"Division No.  1, Subd. U (N.L.)",SNO,F,1489,1620,F,F,-8.1,956,624,754.369,1.9738,1612,56
1001126,Cape Broyle (N.L.),T,F,506,545,F,F,-7.2,269,215,10.0474,50.3613,2984,165
1001131,Renews-Cappahayden (N.L.),T,F,310,421,F,F,-26.4,234,144,127.8436,2.4248,3601,229
1001136,Fermeuse (N.L.),T,F,323,284,F,F,13.7,167,134,38.7322,8.3393,3548,226
1001140,Port Kirwan (N.L.),T,F,65,85,F,F,-23.5,55,29,9.1918,7.0715,4524,351
1001144,Aquaforte (N.L.),T,F,83,103,F,F,-19.4,65,44,6.8158,12.1776,4445,346
1001149,Ferryland (N.L.),T,F,465,529,F,F,-12.1,241,200,13.6204,34.14,3121,179
1001155,"Division No.  1, Subd. W (N.L.)",SNO,F,511,561,F,F,-8.9,814,239,842.5688,0.6065,2972,163
1001169,St. Vincent's-St. Stephen's-Peter's River (N.L.),T,F,340,363,F,F,-6.3,206,152,87.5042,3.8855,3492,216
1001174,Gaskiers-Point La Haye (N.L.),T,F,233,302,F,F,-22.8,131,108,23.8146,9.7839,3875,268
1001178,St. Mary's (N.L.),T,F,439,482,F,F,-8.9,212,185,37.0497,11.8489,3191,188
1001181,Riverhead (N.L.),T,F,212,220,F,F,-3.6,110,86,105.5955,2.0077,3956,280
1001186,Admirals Beach (N.L.),T,F,153,185,F,F,-17.3,79,64,24.4244,6.2642,4161,308
1001192,St. Joseph's (N.L.),T,F,115,144,F,F,-20.1,101,57,32.3135,3.5589,4298,330
1001197,Mount Carmel-Mitchells Brook-St. Catherine's (N.L.),T,F,358,438,F,F,-18.3,287,166,61.5524,5.8162,3441,208
1001203,"Division No.  1, Subd. X (N.L.)",SNO,F,506,510,F,F,-0.8,689,221,570.882,0.8863,2984,165
1001207,Colinet (N.L.),T,F,110,165,F,F,-33.3,88,48,6.2271,17.6647,4326,334
