"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","DIM: Population, dwellings and households (8)","Member ID: Population, dwellings and households (8)","Notes: Population, dwellings and households (8)","Dim: Census year (8): Member ID: [1]: 2016","Dim: Census year (8): Member ID: [2]: 2011","Dim: Census year (8): Member ID: [3]: 2006","Dim: Census year (8): Member ID: [4]: 2001","Dim: Census year (8): Member ID: [5]: 1996 (Note: 4)","Dim: Census year (8): Member ID: [6]: 1991 (Note: 5)","Dim: Census year (8): Member ID: [7]: 1986 (Note: 6)","Dim: Census year (8): Member ID: [8]: 1981 (Note: 7)"
2016,"01","0","Canada",4.0,"20000","01","Total population",1,1,35151730,33476690,31612895,30007095,28846760,27296859,25309331,24343181
2016,"01","0","Canada",4.0,"20000","01","Total - Dwellings occupied by usual residents",2,,14099860,13349450,12463435,11588730,10842665,10039287,9011472,8298901
2016,"01","0","Canada",4.0,"20000","01","Private dwellings occupied by usual residents",3,,14072075,13320615,12435520,11562975,10820050,10018267,8991672,8281531
2016,"01","0","Canada",4.0,"20000","01","Collective dwellings occupied by usual residents",4,,27780,28835,27915,25755,22615,21020,19800,17370
2016,"01","0","Canada",4.0,"20000","01","Total - Population in dwellings",5,2,35145545,33470095,31606350,30001820,28839680,27178745,25283915,24317360
2016,"01","0","Canada",4.0,"20000","01","Population in private dwellings",6,3,34460060,32856980,31072420,29522300,28390680,26731860,24849545,23911625
2016,"01","0","Canada",4.0,"20000","01","Average household size in private dwellings",7,,2.4,2.5,2.5,2.6,2.6,2.7,2.8,2.9
2016,"01","0","Canada",4.0,"20000","01","Population in collective dwellings",8,,685480,613115,533930,479520,449000,446885,434370,405735
2016,"10","1","Newfoundland and Labrador",4.0,"00000","10","Total population",1,1,519720,514535,505470,512930,551790,568474,568349,567681
2016,"10","1","Newfoundland and Labrador",4.0,"00000","10","Total - Dwellings occupied by usual residents",2,,219110,209295,197715,189420,185900,174825,159386,148649
2016,"10","1","Newfoundland and Labrador",4.0,"00000","10","Private dwellings occupied by usual residents",3,,218675,208845,197245,189045,185495,174495,159081,148419
2016,"10","1","Newfoundland and Labrador",4.0,"00000","10","Collective dwellings occupied by usual residents",4,,435,450,470,375,405,330,305,230
2016,"10","1","Newfoundland and Labrador",4.0,"00000","10","Total - Population in dwellings",5,2,519625,514490,505415,512850,551660,564790,567455,567035
2016,"10","1","Newfoundland and Labrador",4.0,"00000","10","Population in private dwellings",6,3,512250,507270,499155,507245,545825,558930,561940,561950
2016,"10","1","Newfoundland and Labrador",4.0,"00000","10","Average household size in private dwellings",7,,2.3,2.4,2.5,2.7,2.9,3.2,3.5,3.8
2016,"10","1","Newfoundland and Labrador",4.0,"00000","10","Population in collective dwellings",8,,7375,7220,6260,5605,5835,5860,5515,5085
2016,"11","1","Prince Edward Island",4.1,"00000","11","Total population",1,1,142905,140205,135850,135290,134555,129765,126646,122506
2016,"11","1","Prince Edward Island",4.1,"00000","11","Total - Dwellings occupied by usual residents",2,,59665,56715,53360,50945,48295,44758,40844,37780
2016,"11","1","Prince Edward Island",4.1,"00000","11","Private dwellings occupied by usual residents",3,,59470,56465,53085,50800,47960,44478,40694,37660
2016,"11","1","Prince Edward Island",4.1,"00000","11","Collective dwellings occupied by usual residents",4,,190,250,275,145,335,280,150,120
