Geography,Sex,Age group (6),2017
"St. John's, Newfoundland and Labrador [10001] ",Both sexes,All ages,219207
"Halifax, Nova Scotia [12205] ",Both sexes,All ages,431701
"Moncton, New Brunswick [13305] ",Both sexes,All ages,152169
"Saint John, New Brunswick [13310] ",Both sexes,All ages,128541
"Saguenay, Quebec [24408] ",Both sexes,All ages,159258
"Québec, Quebec [24421] ",Both sexes,All ages,812205
"Sherbrooke, Quebec [24433] ",Both sexes,All ages,218633
"Trois-Rivières, Quebec [24442] ",Both sexes,All ages,158942
"Montréal, Quebec [24462] ",Both sexes,All ages,4138254
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,All ages,1377016
"Kingston, Ontario [35521] ",Both sexes,All ages,173862
"Peterborough, Ontario [35529] ",Both sexes,All ages,126291
"Oshawa, Ontario [35532] ",Both sexes,All ages,402399
"Toronto, Ontario [35535] ",Both sexes,All ages,6346088
"Hamilton, Ontario [35537] ",Both sexes,All ages,787195
"St. Catharines-Niagara, Ontario [35539] ",Both sexes,All ages,416539
"Kitchener-Cambridge-Waterloo, Ontario [35541] ",Both sexes,All ages,527765
"Brantford, Ontario [35543] ",Both sexes,All ages,147489
"Guelph, Ontario [35550] ",Both sexes,All ages,159988
"London, Ontario [35555] ",Both sexes,All ages,521756
"Windsor, Ontario [35559] ",Both sexes,All ages,344747
"Barrie, Ontario [35568] ",Both sexes,All ages,209081
"Greater Sudbury, Ontario [35580] ",Both sexes,All ages,165270
"Thunder Bay, Ontario [35595] ",Both sexes,All ages,124164
"Winnipeg, Manitoba [46602] ",Both sexes,All ages,825713
"Regina, Saskatchewan [47705] ",Both sexes,All ages,253220
"Saskatoon, Saskatchewan [47725] ",Both sexes,All ages,323809
"Calgary, Alberta [48825] ",Both sexes,All ages,1488841
"Edmonton, Alberta [48835] ",Both sexes,All ages,1411945
"Kelowna, British Columbia [59915] ",Both sexes,All ages,202208
"Abbotsford-Mission, British Columbia [59932] ",Both sexes,All ages,190714
"Vancouver, British Columbia [59933] ",Both sexes,All ages,2571262
"Victoria, British Columbia [59935] ",Both sexes,All ages,377414
